HomeTeam,HomeWinRate,AwayWinRate
Arsenal,0.6382978723404256,0.5531914893617021
Aston Villa,0.5,0.40425531914893614
Bournemouth,0.35714285714285715,0.32142857142857145
Brentford,0.41333333333333333,0.30666666666666664
Brighton & Hove Albion,0.3617021276595745,0.32978723404255317
Burnley,0.19298245614035087,0.19298245614035087
Chelsea,0.48936170212765956,0.43617021276595747
Crystal Palace,0.35106382978723405,0.2765957446808511
Everton,0.35106382978723405,0.26595744680851063
Fulham,0.3466666666666667,0.28
Ipswich Town,0.05555555555555555,0.16666666666666666
Leeds United,0.2982456140350877,0.2982456140350877
Leicester City,0.36,0.28
Liverpool,0.7127659574468085,0.5212765957446809
Luton Town,0.21052631578947367,0.10526315789473684
Manchester City,0.7553191489361702,0.6382978723404256
Manchester United,0.5319148936170213,0.40425531914893614
Newcastle United,0.5212765957446809,0.35106382978723405
Norwich City,0.15789473684210525,0.10526315789473684
Nottingham Forest,0.39285714285714285,0.25
Sheffield United,0.18421052631578946,0.07894736842105263
Southampton,0.22666666666666666,0.16
Tottenham Hotspur,0.574468085106383,0.3723404255319149
Watford,0.10526315789473684,0.21052631578947367
West Bromwich Albion,0.15789473684210525,0.10526315789473684
West Ham United,0.4148936170212766,0.32978723404255317
Wolverhampton Wanderers,0.39361702127659576,0.2765957446808511
